NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
223,01:59:05,57.75,90.00,32.25,-0.12,2.32,M3
224,01:59:07,57.81,90.00,32.19,-0.06,2.31,M3
225,01:59:09,57.94,90.00,32.06,-0.12,2.30,M3
226,01:59:12,58.12,90.00,31.88,-0.19,2.28,M3
227,01:59:14,58.19,90.00,31.81,-0.06,2.28,M3
228,01:59:16,58.38,90.00,31.62,-0.19,2.26,M3
229,01:59:18,58.44,90.00,31.56,-0.06,2.26,M3
230,01:59:20,58.56,90.00,31.44,-0.12,2.25,M2
231,01:59:22,58.69,90.00,31.31,-0.12,2.24,M2
232,01:59:24,58.81,90.00,31.19,-0.12,2.23,M2
233,01:59:26,58.94,90.00,31.06,-0.12,2.22,M2
234,01:59:28,59.00,90.00,31.00,-0.06,2.21,M2
235,01:59:30,59.12,90.00,30.88,-0.12,2.20,M2
236,01:59:32,59.25,90.00,30.75,-0.12,2.19,M2
237,01:59:34,59.38,90.00,30.62,-0.12,2.18,M2
238,01:59:36,59.50,90.00,30.50,-0.12,2.17,M2
239,01:59:38,59.56,90.00,30.44,-0.06,2.16,M2
240,01:59:40,59.69,90.00,30.31,-0.12,2.15,M2
241,01:59:42,59.81,90.00,30.19,-0.12,2.14,M2
242,01:59:44,59.94,90.00,30.06,-0.12,2.13,M2
243,01:59:46,60.06,90.00,29.94,-0.12,2.12,M2
244,01:59:48,60.12,90.00,29.88,-0.06,2.12,M2
245,01:59:50,60.25,90.00,29.75,-0.12,2.11,M2
246,01:59:52,60.38,90.00,29.62,-0.12,2.10,M2
247,01:59:54,60.44,90.00,29.56,-0.06,2.09,M2
248,01:59:56,60.56,90.00,29.44,-0.12,2.08,M2
249,01:59:58,60.62,90.00,29.38,-0.06,2.08,M2
250,02:00:00,60.75,90.00,29.25,-0.12,2.07,M2
251,02:00:02,60.88,90.00,29.12,-0.12,2.06,M2
252,02:00:04,60.94,90.00,29.06,-0.06,2.05,M2
253,02:00:06,61.00,90.00,29.00,-0.06,2.05,M2
254,02:00:08,61.12,90.00,28.88,-0.12,2.04,M2
255,02:00:10,61.19,90.00,28.81,-0.06,2.04,M2
256,02:00:12,61.31,90.00,28.69,-0.12,2.03,M2
257,02:00:14,61.44,90.00,28.56,-0.12,2.02,M2
258,02:00:16,61.50,90.00,28.50,-0.06,2.01,M2
259,02:00:18,61.56,90.00,28.44,-0.06,2.01,M2
260,02:00:20,61.69,90.00,28.31,-0.12,2.00,M2
261,02:00:22,61.88,90.00,28.12,-0.12,1.99,M2
262,02:00:24,62.00,90.00,28.00,-0.12,1.98,M2
263,02:00:26,62.06,90.00,27.94,-0.06,1.98,M2
264,02:00:28,62.12,90.00,27.88,-0.06,1.97,M2
265,02:00:30,62.25,90.00,27.75,-0.12,1.96,M2
266,02:00:32,62.38,90.00,27.62,-0.12,1.96,M2
267,02:00:34,62.44,90.00,27.56,-0.06,1.95,M2
268,02:00:36,62.50,90.00,27.50,-0.06,1.95,M2
269,02:00:38,62.62,90.00,27.38,-0.12,1.94,M2
270,02:00:40,62.69,90.00,27.31,-0.06,1.94,M2
271,02:00:42,62.81,90.00,27.19,-0.12,1.93,M2
272,02:00:44,62.94,90.00,27.06,-0.12,1.92,M2
273,02:00:46,63.00,90.00,27.00,-0.06,1.92,M2
274,02:00:48,63.06,90.00,26.94,-0.06,1.91,M2
275,02:00:50,63.19,90.00,26.81,-0.12,1.91,M2
276,02:00:52,63.25,90.00,26.75,-0.06,1.90,M2
277,02:00:55,63.31,90.00,26.69,-0.06,1.90,M2
278,02:00:57,63.44,90.00,26.56,-0.12,1.89,M2
279,02:00:59,63.50,90.00,26.50,-0.06,1.89,M2
280,02:01:01,63.62,90.00,26.38,-0.12,1.88,M2
281,02:01:03,63.69,90.00,26.31,-0.06,1.88,M2
282,02:01:05,63.81,90.00,26.19,-0.12,1.87,M2
283,02:01:07,63.81,90.00,26.19,0.00,1.87,M2
284,02:01:09,63.94,90.00,26.06,-0.12,1.86,M2
285,02:01:11,64.00,90.00,26.00,-0.06,1.86,M2
286,02:01:13,64.12,90.00,25.88,-0.12,1.85,M2
287,02:01:15,64.25,90.00,25.75,-0.12,1.85,M2
288,02:01:17,64.31,90.00,25.69,-0.06,1.84,M2
289,02:01:19,64.38,90.00,25.62,-0.06,1.84,M2
290,02:01:21,64.50,90.00,25.50,-0.12,1.83,M2
291,02:01:23,64.56,90.00,25.44,-0.06,1.83,M2
292,02:01:25,64.62,90.00,25.38,-0.06,1.83,M2
293,02:01:27,64.75,90.00,25.25,-0.12,1.82,M2
294,02:01:29,64.81,90.00,25.19,-0.06,1.82,M2
295,02:01:31,64.88,90.00,25.12,-0.06,1.82,M2
296,02:01:33,65.00,90.00,25.00,-0.12,1.81,M2
297,02:01:35,65.06,90.00,24.94,-0.06,1.81,M2
298,02:01:37,65.19,90.00,24.81,-0.12,1.81,M2
299,02:01:39,65.25,90.00,24.75,-0.06,1.81,M2
300,02:01:41,65.31,90.00,24.69,-0.06,1.81,M2
301,02:01:43,65.44,90.00,24.56,-0.12,1.81,M2
302,02:01:45,65.50,90.00,24.50,-0.06,1.81,M2
303,02:01:47,65.62,90.00,24.38,-0.12,1.81,M2
304,02:01:49,65.69,90.00,24.31,-0.06,1.81,M2
305,02:01:51,65.75,90.00,24.25,-0.06,1.81,M2
306,02:01:53,65.88,90.00,24.12,-0.12,1.81,M2
307,02:01:55,66.00,90.00,24.00,-0.12,1.81,M2
308,02:01:57,66.06,90.00,23.94,-0.06,1.81,M2
309,02:01:59,66.12,90.00,23.88,-0.06,1.81,M2
310,02:02:01,66.25,90.00,23.75,-0.12,1.81,M2
311,02:02:03,66.31,90.00,23.69,-0.06,1.81,M2
312,02:02:05,66.44,90.00,23.56,-0.12,1.81,M2
313,02:02:07,66.50,90.00,23.50,-0.06,1.81,M2
314,02:02:09,66.56,90.00,23.44,-0.06,1.81,M2
315,02:02:11,66.69,90.00,23.31,-0.12,1.81,M2
316,02:02:13,66.75,90.00,23.25,-0.06,1.81,M2
317,02:02:15,66.81,90.00,23.19,-0.06,1.81,M2
318,02:02:17,66.94,90.00,23.06,-0.12,1.81,M2
319,02:02:19,67.00,90.00,23.00,-0.06,1.81,M2
320,02:02:21,67.12,90.00,22.88,-0.12,1.81,M2
321,02:02:23,67.19,90.00,22.81,-0.06,1.82,M2
322,02:02:25,67.31,90.00,22.69,-0.12,1.81,M2
323,02:02:27,67.38,90.00,22.62,-0.06,1.82,M2
324,02:02:29,67.44,90.00,22.56,-0.06,1.82,M2
325,02:02:31,67.50,90.00,22.50,-0.06,1.82,M2
326,02:02:33,67.62,90.00,22.38,-0.12,1.81,M2
327,02:02:35,67.75,90.00,22.25,-0.12,1.81,M2
328,02:02:38,67.81,90.00,22.19,-0.06,1.82,M2
329,02:02:40,67.88,90.00,22.12,-0.06,1.82,M2
330,02:02:42,67.94,90.00,22.06,-0.06,1.82,M2
331,02:02:44,68.06,90.00,21.94,-0.12,1.81,M2
332,02:02:46,68.12,90.00,21.88,-0.06,1.82,M2
333,02:02:48,68.25,90.00,21.75,-0.12,1.81,M2
334,02:02:50,68.31,90.00,21.69,-0.06,1.82,M2
335,02:02:52,68.38,90.00,21.62,-0.06,1.82,M2
336,02:02:54,68.50,90.00,21.50,-0.12,1.81,M2
337,02:02:56,68.56,90.00,21.44,-0.06,1.82,M2
338,02:02:58,68.69,90.00,21.31,-0.12,1.81,M2
339,02:03:00,68.75,90.00,21.25,-0.06,1.82,M2
340,02:03:02,68.81,90.00,21.19,-0.06,1.82,M2
341,02:03:04,68.94,90.00,21.06,-0.12,1.81,M2
342,02:03:06,69.00,90.00,21.00,-0.06,1.82,M2
343,02:03:08,69.12,90.00,20.88,-0.12,1.81,M2
344,02:03:10,69.19,90.00,20.81,-0.06,1.82,M2
345,02:03:12,69.31,90.00,20.69,-0.12,1.81,M2
346,02:03:14,69.38,90.00,20.62,-0.06,1.82,M2
